Rank,BlessLevel,Exp,ExpDiff,SeasonScore
Silver,65,107341541 ,1833196,6500
Silver,66,109174737 ,1833196,6600
Silver,67,111007933 ,1833196,6700
Silver,68,112841129 ,1833196,6800
Silver,69,114674325 ,1833196,6900
Silver,70,116507521 ,1833196,7000
Silver,71,118340717 ,1833196,7100
Silver,72,120173913 ,1833196,7200
Silver,73,122007109 ,1833196,7300
Silver,74,123840305 ,1833196,7400
Silver,75,125673501 ,1833196,7500
Silver,76,127506697 ,1833196,7600
Silver,77,129339893 ,1833196,7700
Silver,78,131173089 ,1833196,7800
Silver,79,133006285 ,1833196,7900
Silver,80,134839481 ,1833196,8000
Silver,81,136672677 ,1833196,8100
Silver,82,138505873 ,1833196,8200
Silver,83,140339069 ,1833196,8300
Silver,84,142172265 ,1833196,8400
Silver,85,144005461 ,1833196,8500
Silver,86,145838657 ,1833196,8600
Silver,87,147671853 ,1833196,8700
Silver,88,149505049 ,1833196,8800
Silver,89,151338245 ,1833196,8900
Silver,90,153171441 ,1833196,9000
Silver,91,155004637 ,1833196,9100
Silver,92,156837833 ,1833196,9200
Silver,93,158671029 ,1833196,9300
Silver,94,160504225 ,1833196,9400
Silver,95,162337421 ,1833196,9500
Silver,96,164170617 ,1833196,9600
Silver,97,166003813 ,1833196,9700
Silver,98,167837009 ,1833196,9800
Silver,99,169670205 ,1833196,9900
Silver,100,171503401 ,1833196,10000
Silver,101,173336597 ,1833196,10100
Silver,102,175169793 ,1833196,10200
Silver,103,177002989 ,1833196,10300
Silver,104,178836185 ,1833196,10400
Silver,105,180669381 ,1833196,10500
Silver,106,182502577 ,1833196,10600
Silver,107,184335773 ,1833196,10700
Silver,108,186168969 ,1833196,10800
Silver,109,188002165 ,1833196,10900
Silver,110,189835361 ,1833196,11000
Silver,111,191668557 ,1833196,11100
Silver,112,193501753 ,1833196,11200
Silver,113,195334949 ,1833196,11300
Silver,114,197168145 ,1833196,11400
Silver,115,199001341 ,1833196,11500
Silver,116,200834537 ,1833196,11600
Silver,117,202667733 ,1833196,11700
Silver,118,204500929 ,1833196,11800
Silver,119,206334125 ,1833196,11900
Silver,120,208167321 ,1833196,12000
Silver,121,210000517 ,1833196,12100
Silver,122,211833713 ,1833196,12200
Silver,123,213666909 ,1833196,12300
Silver,124,215500105 ,1833196,12400
Silver,125,217333301 ,1833196,12500
Silver,126,219166497 ,1833196,12600
Silver,127,220999693 ,1833196,12700
Silver,128,222832889 ,1833196,12800
Silver,129,224666085 ,1833196,12900
Silver,130,226499281 ,1833196,13000
Silver,131,228332477 ,1833196,13100
Silver,132,230165673 ,1833196,13200
Silver,133,231998869 ,1833196,13300
Silver,134,233832065 ,1833196,13400
Silver,135,235665261 ,1833196,13500
Silver,136,237498457 ,1833196,13600
Silver,137,239331653 ,1833196,13700
Silver,138,241164849 ,1833196,13800
Silver,139,242998045 ,1833196,13900
Silver,140,244831241 ,1833196,14000
Silver,141,246664437 ,1833196,14100
Silver,142,248497633 ,1833196,14200
Silver,143,250330829 ,1833196,14300
Silver,144,252164025 ,1833196,14400
Silver,145,253997221 ,1833196,14500
Silver,146,255830417 ,1833196,14600
Silver,147,257663613 ,1833196,14700
Silver,148,259496809 ,1833196,14800
Silver,149,261330005 ,1833196,14900
Silver,150,263163201 ,1833196,15000
Gold,1,6342809 ,6342809,100
Gold,2,13134780 ,6791971,200
Gold,3,20483945 ,7349165,300
Gold,4,28380669 ,7896724,400
Gold,5,36811710 ,8431041,500
Gold,6,45760214 ,8948504,600
Gold,7,55297199 ,9536985,700
Gold,8,65360071 ,10062872,800
Gold,9,75951237 ,10591166,900
Gold,10,87152545 ,11201308,1000
Gold,11,98433295 ,11280750,1100
Gold,12,109768025 ,11334730,1200
Gold,13,121155721 ,11387696,1300
Gold,14,132596383 ,11440662,1400
Gold,15,144090011 ,11493628,1500
Gold,16,155636605 ,11546594,1600
Gold,17,167236165 ,11599560,1700
Gold,18,178888691 ,11652526,1800
Gold,19,190567700 ,11679009,1900
Gold,20,202299675 ,11731975,2000
Gold,21,214084616 ,11784941,2100
Gold,22,225896229 ,11811613,2200
Gold,23,237734326 ,11838097,2300
Gold,24,249598906 ,11864580,2400
Gold,25,261516453 ,11917547,2500
Gold,26,273486967 ,11970514,2600
Gold,27,285536931 ,12049964,2700
Gold,28,297692829 ,12155898,2800
Gold,29,309901694 ,12208865,2900
Gold,30,322163526 ,12261832,3000
Gold,31,334478325 ,12314799,3100
Gold,32,346872404 ,12394079,3200
Gold,33,359319450 ,12447046,3300
Gold,34,371819462 ,12500012,3400
Gold,35,384319474 ,12500012,3500
Gold,36,396845969 ,12526495,3600
Gold,37,409425430 ,12579461,3700
Gold,38,422057857 ,12632427,3800
Gold,39,434716767 ,12658910,3900
Gold,40,447428643 ,12711876,4000
Gold,41,460193485 ,12764842,4100
Gold,42,473011122 ,12817637,4200
Gold,43,485881724 ,12870602,4300
Gold,44,498831774 ,12950050,4400
Gold,45,511861273 ,13029499,4500
Gold,46,524943737 ,13082464,4600
Gold,47,538079166 ,13135429,4700
Gold,48,551267561 ,13188395,4800
Gold,49,564482439 ,13214878,4900
Gold,50,577750282 ,13267843,5000
Gold,51,591071091 ,13320809,5100
Gold,52,604443900 ,13372809,5200
Gold,53,617843190 ,13399290,5300
Gold,54,631268961 ,13425771,5400
Gold,55,644721212 ,13452251,5500
Gold,56,658199944 ,13478732,5600
Gold,57,671678676 ,13478732,5700
Gold,58,685157408 ,13478732,5800
Gold,59,698636140 ,13478732,5900
Gold,60,712114872 ,13478732,6000
Gold,61,725593604 ,13478732,6100
Gold,62,739072336 ,13478732,6200
Gold,63,752551068 ,13478732,6300
Gold,64,766029800 ,13478732,6400
Gold,65,779508532 ,13478732,6500
Gold,66,792987264 ,13478732,6600
Gold,67,806465996 ,13478732,6700
Gold,68,819944728 ,13478732,6800
Gold,69,833423460 ,13478732,6900
Gold,70,846902192 ,13478732,7000
Gold,71,860380924 ,13478732,7100
Gold,72,873859656 ,13478732,7200
Gold,73,887338388 ,13478732,7300
Gold,74,900817120 ,13478732,7400
Gold,75,914295852 ,13478732,7500
Gold,76,927774584 ,13478732,7600
Gold,77,941253316 ,13478732,7700
Gold,78,954732048 ,13478732,7800
Gold,79,968210780 ,13478732,7900
Gold,80,981689512 ,13478732,8000
Gold,81,995168244 ,13478732,8100
Gold,82,1008646976 ,13478732,8200
Gold,83,1022125708 ,13478732,8300
Gold,84,1035604440 ,13478732,8400
Gold,85,1049083172 ,13478732,8500
Gold,86,1062561904 ,13478732,8600
Gold,87,1076040636 ,13478732,8700
Gold,88,1089519368 ,13478732,8800
Gold,89,1102998100 ,13478732,8900
Gold,90,1116476832 ,13478732,9000
Gold,91,1129955564 ,13478732,9100
Gold,92,1143434296 ,13478732,9200
Gold,93,1156913028 ,13478732,9300
Gold,94,1170391760 ,13478732,9400
Gold,95,1183870492 ,13478732,9500
Gold,96,1197349224 ,13478732,9600
Gold,97,1210827956 ,13478732,9700
Gold,98,1224306688 ,13478732,9800
Gold,99,1237785420 ,13478732,9900
Gold,100,1251264152 ,13478732,10000
Gold,101,1264742884 ,13478732,10100
Gold,102,1278221616 ,13478732,10200
Gold,103,1291700348 ,13478732,10300
Gold,104,1305179080 ,13478732,10400
Gold,105,1318657812 ,13478732,10500
Gold,106,1332136544 ,13478732,10600
Gold,107,1345615276 ,13478732,10700
Gold,108,1359094008 ,13478732,10800
Gold,109,1372572740 ,13478732,10900
Gold,110,1386051472 ,13478732,11000
Gold,111,1399530204 ,13478732,11100
Gold,112,1413008936 ,13478732,11200
Gold,113,1426487668 ,13478732,11300
Gold,114,1439966400 ,13478732,11400
Gold,115,1453445132 ,13478732,11500
Gold,116,1466923864 ,13478732,11600
Gold,117,1480402596 ,13478732,11700
Gold,118,1493881328 ,13478732,11800
Gold,119,1507360060 ,13478732,11900
Gold,120,1520838792 ,13478732,12000
Gold,121,1534317524 ,13478732,12100
Gold,122,1547796256 ,13478732,12200
Gold,123,1561274988 ,13478732,12300
Gold,124,1574753720 ,13478732,12400
Gold,125,1588232452 ,13478732,12500
Gold,126,1601711184 ,13478732,12600
Gold,127,1615189916 ,13478732,12700
Gold,128,1628668648 ,13478732,12800
Gold,129,1642147380 ,13478732,12900
Gold,130,1655626112 ,13478732,13000
Gold,131,1669104844 ,13478732,13100
Gold,132,1682583576 ,13478732,13200
Gold,133,1696062308 ,13478732,13300
Gold,134,1709541040 ,13478732,13400
Gold,135,1723019772 ,13478732,13500
Gold,136,1736498504 ,13478732,13600
Gold,137,1749977236 ,13478732,13700
Gold,138,1763455968 ,13478732,13800
Gold,139,1776934700 ,13478732,13900
Gold,140,1790413432 ,13478732,14000
Gold,141,1803892164 ,13478732,14100
Gold,142,1817370896 ,13478732,14200
Gold,143,1830849628 ,13478732,14300
Gold,144,1844328360 ,13478732,14400
Gold,145,1857807092 ,13478732,14500
Gold,146,1871285824 ,13478732,14600
Gold,147,1884764556 ,13478732,14700
Gold,148,1898243288 ,13478732,14800
Gold,149,1911722020 ,13478732,14900
Gold,150,1925200752 ,13478732,15000
Saint,1,44969859 ,44969859,100
Saint,2,93732737 ,48762878,200
Saint,3,146337057 ,52604320,300
Saint,4,202733613 ,56396556,400
Saint,5,262959281 ,60225668,500
Saint,6,326940270 ,63980989,600
Saint,7,394934791 ,67994521,700
Saint,8,466869053 ,71934262,800
Saint,9,542909038 ,76039985,900
Saint,10,623103914 ,80194876,1000
Saint,11,703704544 ,80600630,1100
Saint,12,784714181 ,81009637,1200
Saint,13,866129589 ,81415408,1300
Saint,14,947815511 ,81685922,1400
Saint,15,1029636690 ,81821179,1500
Saint,16,1111863640 ,82226950,1600
Saint,17,1194496360 ,82632720,1700
Saint,18,1277399594 ,82903234,1800
Saint,19,1360708599 ,83309005,1900
Saint,20,1444423375 ,83714776,2000
Saint,21,1528408665 ,83985290,2100
Saint,22,1612796795 ,84388130,2200
Saint,23,1697455430 ,84658635,2300
Saint,24,1782384569 ,84929139,2400
Saint,25,1867719465 ,85334896,2500
Saint,26,1953324865 ,85605400,2600
Saint,27,2039200770 ,85875905,2700
Saint,28,2125482431 ,86281661,2800
Saint,29,2212034597 ,86552166,2900
Saint,30,2298857267 ,86822670,3000
Saint,31,2385815190 ,86957923,3100
Saint,32,2473052307 ,87237117,3200
Saint,33,2560559955 ,87507648,3300
Saint,34,2648473400 ,87913445,3400
Saint,35,2752000084 ,103526684,3500
Saint,36,2866131863 ,114131779,3600
Saint,37,2980566754 ,114434891,3700
Saint,38,3095153202 ,114586448,3800
Saint,39,3210042761 ,114889559,3900
Saint,40,3325235433 ,115192672,4000
Saint,41,3440579662 ,115344229,4100
Saint,42,3556508578 ,115928916,4200
Saint,43,3672740543 ,116231965,4300
Saint,44,3789427078 ,116686535,4400
Saint,45,3906265137 ,116838059,4500
Saint,46,4023709291 ,117444154,4600
Saint,47,4141456492 ,117747201,4700
Saint,48,4259355218 ,117898726,4800
Saint,49,4377708514 ,118353296,4900
Saint,50,4496364857 ,118656343,5000
Saint,51,4615172725 ,118807868,5100
Saint,52,4734293057 ,119120332,5200
Saint,53,4853564928 ,119271871,5300
Saint,54,4973291410 ,119726482,5400
Saint,55,5093320967 ,120029557,5500
Saint,56,5213502062 ,120181095,5600
Saint,57,5333986231 ,120484169,5700
Saint,58,5454773476 ,120787245,5800
Saint,59,5575863795 ,121090319,5900
Saint,60,5681762945 ,105899150,6000
Saint,61,5788419782 ,106656837,6100
Saint,62,5895388801 ,106969019,6200
Saint,63,6002509370 ,107120569,6300
Saint,64,6109933040 ,107423670,6400
Saint,65,6217659811 ,107726771,6500
Saint,66,6325992783 ,108332972,6600
Saint,67,6434477306 ,108484523,6700
Saint,68,6543719581 ,109242275,6800
Saint,69,6653264956 ,109545375,6900
Saint,70,6762961882 ,109696926,7000
Saint,71,6872961908 ,110000026,7100
Saint,72,6983255192 ,110293284,7200
Saint,73,7093700012 ,110444820,7300
Saint,74,7204447906 ,110747894,7400
Saint,75,7315498874 ,111050968,7500
Saint,76,7427155989 ,111657115,7600
Saint,77,7538964641 ,111808652,7700
Saint,78,7650924830 ,111960189,7800
Saint,79,7763188093 ,112263263,7900
Saint,80,7875602892 ,112414799,8000
Saint,81,7988320765 ,112717873,8100
Saint,82,8101340275 ,113019510,8200
Saint,83,8214662855 ,113322580,8300
Saint,84,8328288505 ,113625650,8400
Saint,85,8442065690 ,113777185,8500
Saint,86,8556145945 ,114080255,8600
Saint,87,8670226200 ,114080255,8700
Saint,88,8784457990 ,114231790,8800
Saint,89,8898689780 ,114231790,8900
Saint,90,9013073105 ,114383325,9000
Saint,91,9127571614 ,114498509,9100
Saint,92,9242106474 ,114534860,9200
Saint,93,9356756470 ,114649996,9300
Saint,94,9471406466 ,114649996,9400
Saint,95,9586056462 ,114649996,9500
Saint,96,9700706458 ,114649996,9600
Saint,97,9815356454 ,114649996,9700
Saint,98,9930006450 ,114649996,9800
Saint,99,10044656446 ,114649996,9900
Saint,100,10159306442 ,114649996,10000
Saint,101,10273956438 ,114649996,10100
Saint,102,10388606434 ,114649996,10200
Saint,103,10503256430 ,114649996,10300
Saint,104,10617906426 ,114649996,10400
Saint,105,10732556422 ,114649996,10500
Saint,106,10847206418 ,114649996,10600
Saint,107,10961856414 ,114649996,10700
Saint,108,11076506410 ,114649996,10800
Saint,109,11191156406 ,114649996,10900
Saint,110,11305806402 ,114649996,11000
Saint,111,11420456398 ,114649996,11100
Saint,112,11535106394 ,114649996,11200
Saint,113,11649756390 ,114649996,11300
Saint,114,11764406386 ,114649996,11400
Saint,115,11879056382 ,114649996,11500
Saint,116,11993706378 ,114649996,11600
Saint,117,12108356374 ,114649996,11700
Saint,118,12223006370 ,114649996,11800
Saint,119,12337656366 ,114649996,11900
Saint,120,12452306362 ,114649996,12000
Saint,121,12566956358 ,114649996,12100
Saint,122,12681606354 ,114649996,12200
Saint,123,12796256350 ,114649996,12300
Saint,124,12910906346 ,114649996,12400
Saint,125,13025556342 ,114649996,12500
Saint,126,13140206338 ,114649996,12600
Saint,127,13254856334 ,114649996,12700
Saint,128,13369506330 ,114649996,12800
Saint,129,13484156326 ,114649996,12900
Saint,130,13598806322 ,114649996,13000
Saint,131,13713456318 ,114649996,13100
Saint,132,13828106314 ,114649996,13200
Saint,133,13942756310 ,114649996,13300
Saint,134,14057406306 ,114649996,13400
Saint,135,14172056302 ,114649996,13500
Saint,136,14286706298 ,114649996,13600
Saint,137,14401356294 ,114649996,13700
Saint,138,14516006290 ,114649996,13800
Saint,139,14630656286 ,114649996,13900
Saint,140,14745306282 ,114649996,14000
Saint,141,14859956278 ,114649996,14100
Saint,142,14974606274 ,114649996,14200
Saint,143,15089256270 ,114649996,14300
Saint,144,15203906266 ,114649996,14400
Saint,145,15318556262 ,114649996,14500
Saint,146,15433206258 ,114649996,14600
Saint,147,15547856254 ,114649996,14700
Saint,148,15662506250 ,114649996,14800
Saint,149,15777156246 ,114649996,14900
Saint,150,15891806242 ,114649996,15000
Legend,1,744690971 ,744690971,100
Legend,2,1548924424 ,804233453,200
Legend,3,2413361349 ,864436925,300
Legend,4,3338390980 ,925029631,400
Legend,5,4324402550 ,986011570,500
Legend,6,5371785293 ,1047382743,600
Legend,7,6482161697 ,1110376404,700
Legend,8,7656050740 ,1173889043,800
Legend,9,8891245400 ,1235194660,900
Legend,10,10189433039 ,1298187639,1000
Legend,11,11491904293 ,1302471254,1100
Legend,12,12797437692 ,1305533399,1200
Legend,13,14104399189 ,1306961497,1300
Legend,14,15414216882 ,1309817693,1400
Legend,15,16726890771 ,1312673889,1500
Legend,16,18042420856 ,1315530085,1600
Legend,17,19360807136 ,1318386280,1700
Legend,18,20682049612 ,1321242476,1800
Legend,19,22004720186 ,1322670574,1900
Legend,20,23330246956 ,1325526770,2000
Legend,21,24658629922 ,1328382966,2100
Legend,22,25989938624 ,1331308702,2200
Legend,23,27324103672 ,1334165048,2300
Legend,24,28661125065 ,1337021393,2400
Legend,25,30001002803 ,1339877738,2500
Legend,26,31343736886 ,1342734083,2600
Legend,27,32689327314 ,1345590428,2700
Legend,28,34037774088 ,1348446774,2800
Legend,29,35389077207 ,1351303119,2900
Legend,30,36743236671 ,1354159464,3000
Legend,31,38100252480 ,1357015809,3100
Legend,32,39460086451 ,1359833971,3200
Legend,33,40822776687 ,1362690236,3300
Legend,34,42188323188 ,1365546501,3400
Legend,35,43556725954 ,1368402766,3500
Legend,36,44926556853 ,1369830899,3600
Legend,37,46299244017 ,1372687164,3700
Legend,38,47674787445 ,1375543428,3800
Legend,39,49053187138 ,1378399693,3900
Legend,40,50434443096 ,1381255958,4000
Legend,41,51818555319 ,1384112223,4100
Legend,42,53204045670 ,1385490351,4200
Legend,43,54592392183 ,1388346513,4300
Legend,44,55983594858 ,1391202675,4400
Legend,45,57376225614 ,1392630756,4500
Legend,46,58771712531 ,1395486917,4600
Legend,47,60170055610 ,1398343079,4700
Legend,48,61571254851 ,1401199241,4800
Legend,49,62975310253 ,1404055402,4900
Legend,50,64382221817 ,1406911564,5000
Legend,51,65790561462 ,1408339645,5100
Legend,52,67201863473 ,1411302011,5200
Legend,53,68616021861 ,1414158388,5300
Legend,54,70033036626 ,1417014765,5400
Legend,55,71452907768 ,1419871142,5500
Legend,56,72875635287 ,1422727519,5600
Legend,57,74301219182 ,1425583895,5700
Legend,58,75728231266 ,1427012084,5800
Legend,59,77158099727 ,1429868461,5900
Legend,60,78590824565 ,1432724838,6000
Legend,61,80026405780 ,1435581215,6100
Legend,62,81463401140 ,1436995360,6200
Legend,63,82903252849 ,1439851709,6300
Legend,64,84345960907 ,1442708058,6400
Legend,65,85791525314 ,1445564407,6500
Legend,66,87239946070 ,1448420756,6600
Legend,67,88691223175 ,1451277105,6700
Legend,68,90145356629 ,1454133454,6800
Legend,69,91600918257 ,1455561628,6900
Legend,70,93059336234 ,1458417977,7000
Legend,71,94520610560 ,1461274326,7100
Legend,72,95984557137 ,1463946577,7200
Legend,73,97451359704 ,1466802567,7300
Legend,74,98921018260 ,1469658556,7400
Legend,75,100393532806 ,1472514546,7500
Legend,76,101867475346 ,1473942540,7600
Legend,77,103344273876 ,1476798530,7700
Legend,78,104823928395 ,1479654519,7800
Legend,79,106306438904 ,1482510509,7900
Legend,80,107791805402 ,1485366498,8000
Legend,81,109280027889 ,1488222487,8100
Legend,82,110771418476 ,1491390587,8200
Legend,83,112265665651 ,1494247175,8300
Legend,84,113762769414 ,1497103763,8400
Legend,85,115261301471 ,1498532057,8500
Legend,86,116762690116 ,1501388645,8600
Legend,87,118266935349 ,1504245233,8700
Legend,88,119774037169 ,1507101820,8800
Legend,89,121283995577 ,1509958408,8900
Legend,90,122795382279 ,1511386702,9000
Legend,91,124309625569 ,1514243290,9100
Legend,92,125825955133 ,1516329564,9200
Legend,93,127345139833 ,1519184700,9300
Legend,94,128867179668 ,1522039835,9400
Legend,95,130389219503 ,1522039835,9500
Legend,96,131911259338 ,1522039835,9600
Legend,97,133433299173 ,1522039835,9700
Legend,98,134955339008 ,1522039835,9800
Legend,99,136477378843 ,1522039835,9900
Legend,100,137999418678 ,1522039835,10000
Legend,101,139521458513 ,1522039835,10100
Legend,102,141043498348 ,1522039835,10200
Legend,103,142565538183 ,1522039835,10300
Legend,104,144087578018 ,1522039835,10400
Legend,105,145609617853 ,1522039835,10500
Legend,106,147131657688 ,1522039835,10600
Legend,107,148653697523 ,1522039835,10700
Legend,108,150175737358 ,1522039835,10800
Legend,109,151697777193 ,1522039835,10900
Legend,110,153219817028 ,1522039835,11000
Legend,111,154741856863 ,1522039835,11100
Legend,112,156263896698 ,1522039835,11200
Legend,113,157785936533 ,1522039835,11300
Legend,114,159307976368 ,1522039835,11400
Legend,115,160830016203 ,1522039835,11500
Legend,116,162352056038 ,1522039835,11600
Legend,117,163874095873 ,1522039835,11700
Legend,118,165396135708 ,1522039835,11800
Legend,119,166918175543 ,1522039835,11900
Legend,120,168440215378 ,1522039835,12000
Legend,121,169962255213 ,1522039835,12100
Legend,122,171484295048 ,1522039835,12200
Legend,123,173006334883 ,1522039835,12300
Legend,124,174528374718 ,1522039835,12400
Legend,125,176050414553 ,1522039835,12500
Legend,126,177572454388 ,1522039835,12600
Legend,127,179094494223 ,1522039835,12700
Legend,128,180616534058 ,1522039835,12800
Legend,129,182138573893 ,1522039835,12900
Legend,130,183660613728 ,1522039835,13000
Legend,131,185182653563 ,1522039835,13100
Legend,132,186704693398 ,1522039835,13200
Legend,133,188226733233 ,1522039835,13300
Legend,134,189748773068 ,1522039835,13400
Legend,135,191270812903 ,1522039835,13500
Legend,136,192792852738 ,1522039835,13600
Legend,137,194314892573 ,1522039835,13700
Legend,138,195836932408 ,1522039835,13800
Legend,139,197358972243 ,1522039835,13900
Legend,140,198881012078 ,1522039835,14000
Legend,141,200403051913 ,1522039835,14100
Legend,142,201925091748 ,1522039835,14200
Legend,143,203447131583 ,1522039835,14300
Legend,144,204969171418 ,1522039835,14400
Legend,145,206491211253 ,1522039835,14500
Legend,146,208013251088 ,1522039835,14600
Legend,147,209535290923 ,1522039835,14700
Legend,148,211057330758 ,1522039835,14800
Legend,149,212579370593 ,1522039835,14900
Legend,150,214101410428 ,1522039835,15000
Legend,151,215623450263 ,1522039835,15100
Legend,152,217145490098 ,1522039835,15200
Legend,153,218667529933 ,1522039835,15300
Legend,154,220189569768 ,1522039835,15400
Legend,155,221711609603 ,1522039835,15500
Legend,156,223233649438 ,1522039835,15600
Legend,157,224755689273 ,1522039835,15700
Legend,158,226277729108 ,1522039835,15800
Legend,159,227799768943 ,1522039835,15900
Legend,160,229321808778 ,1522039835,16000
Angel,1,5463561867 ,5463561867,100
Angel,2,11361017986 ,5897456119,200
Angel,3,17694548670 ,6333530684,300
Angel,4,24466334230 ,6771785560,400
Angel,5,31666191712 ,7199857482,500
Angel,6,39314482941 ,7648291229,600
Angel,7,47414114999 ,8099632058,700
Angel,8,55967994968 ,8553879969,800
Angel,9,64979029930 ,9011034962,900
Angel,10,74434129849 ,9455099919,1000
Angel,11,83907067007 ,9472937158,1100
Angel,12,93396004397 ,9488937390,1200
Angel,13,102884941787 ,9488937390,1300
Angel,14,112373879177 ,9488937390,1400
Angel,15,121878816799 ,9504937622,1500
Angel,16,131431755118 ,9552938319,1600
Angel,17,140992693553 ,9560938435,1700
Angel,18,150553631988 ,9560938435,1800
Angel,19,160130570655 ,9576938667,1900
Angel,20,169707509322 ,9576938667,2000
Angel,21,179299719452 ,9592210130,2100
Angel,22,188891929582 ,9592210130,2200
Angel,23,198484139712 ,9592210130,2300
Angel,24,208076349842 ,9592210130,2400
Angel,25,217684558987 ,9608209145,2500
Angel,26,227292768132 ,9608209145,2600
Angel,27,236900977277 ,9608209145,2700
Angel,28,246509186422 ,9608209145,2800
Angel,29,256125395074 ,9616208652,2900
Angel,30,265741603726 ,9616208652,3000
Angel,31,275373105489 ,9631501763,3100
Angel,32,285068598612 ,9695493123,3200
Angel,33,294772090655 ,9703492043,3300
Angel,34,304483581618 ,9711490963,3400
Angel,35,314195072581 ,9711490963,3500
Angel,36,323922561383 ,9727488802,3600
Angel,37,333658049105 ,9735487722,3700
Angel,38,343417533587 ,9759484482,3800
Angel,39,353177018069 ,9759484482,3900
Angel,40,362936502551 ,9759484482,4000
Angel,41,372722031763 ,9785529212,4100
Angel,42,382531562766 ,9809531003,4200
Angel,43,392341093769 ,9809531003,4300
Angel,44,402166625967 ,9825532198,4400
Angel,45,412016159957 ,9849533990,4500
Angel,46,421889695738 ,9873535781,4600
Angel,47,431787233311 ,9897537573,4700
Angel,48,441732774467 ,9945541156,4800
Angel,49,451686316221 ,9953541754,4900
Angel,50,461647858572 ,9961542351,5000
Angel,51,471615353643 ,9967495071,5100
Angel,52,481590847665 ,9975494022,5200
Angel,53,491574340638 ,9983492973,5300
Angel,54,501557833611 ,9983492973,5400
Angel,55,511549325535 ,9991491924,5500
Angel,56,521540817459 ,9991491924,5600
Angel,57,531532309383 ,9991491924,5700
Angel,58,541523801307 ,9991491924,5800
Angel,59,551515293231 ,9991491924,5900
Angel,60,561506785155 ,9991491924,6000
Angel,61,571499517296 ,9992732141,6100
Angel,62,581492249437 ,9992732141,6200
Angel,63,591484981578 ,9992732141,6300
Angel,64,601525713393 ,10040731815,6400
Angel,65,611566445208 ,10040731815,6500
Angel,66,621623176914 ,10056731706,6600
Angel,67,631695908511 ,10072731597,6700
Angel,68,641824639727 ,10128731216,6800
Angel,69,651961370889 ,10136731162,6900
Angel,70,662122101888 ,10160730999,7000
Angel,71,672290929486 ,10168827598,7100
Angel,72,682459757084 ,10168827598,7200
Angel,73,692636584703 ,10176827619,7300
Angel,74,702821412344 ,10184827641,7400
Angel,75,713014240007 ,10192827663,7500
Angel,76,723223067713 ,10208827706,7600
Angel,77,733439895441 ,10216827728,7700
Angel,78,743656723169 ,10216827728,7800
Angel,79,753881550919 ,10224827750,7900
Angel,80,764106378669 ,10224827750,8000
Angel,81,774346765317 ,10240386648,8100
Angel,82,784603151318 ,10256386001,8200
Angel,83,794891536026 ,10288384708,8300
Angel,84,805179920734 ,10288384708,8400
Angel,85,815468305442 ,10288384708,8500
Angel,86,825756690150 ,10288384708,8600
Angel,87,836045074858 ,10288384708,8700
Angel,88,846333459566 ,10288384708,8800
